3.6513e+05,-1.7135e+05,0.039487,0.13592
3.5966e+05,-1.684e+05,0.03259,0.13952
3.5251e+05,-1.6456e+05,0.025585,0.14243
3.4366e+05,-1.5981e+05,0.018504,0.14464
3.3311e+05,-1.5419e+05,0.011376,0.14613
3.2086e+05,-1.477e+05,0.0042287,0.14692
3.0692e+05,-1.4036e+05,-0.0029156,0.14698
2.9131e+05,-1.322e+05,-0.010035,0.14634
2.7407e+05,-1.2325e+05,-0.017109,0.14498
2.5523e+05,-1.1354e+05,-0.02412,0.14292
2.3484e+05,-1.0312e+05,-0.03105,0.14016
2.1297e+05,-92024,-0.037883,0.13671
1.8966e+05,-80307,-0.044602,0.13259
1.65e+05,-68020,-0.051191,0.1278
1.3906e+05,-55219,-0.057633,0.12236
1.1193e+05,-41965,-0.063913,0.11628
83707,-28323,-0.070013,0.10958
54496,-14360,-0.075915,0.10228
24411,-148.05,-0.081601,0.094408
-6421.8,14239,-0.087052,0.085973
-37865,28724,-0.092245,0.077007
-69768,43226,-0.097158,0.067534
-1.0197e+05,57665,-0.10177,0.057586
-1.3428e+05,71954,-0.10604,0.047192
-1.6652e+05,86009,-0.10996,0.036389
-1.9848e+05,99743,-0.11348,0.025214
-2.2995e+05,1.1307e+05,-0.11658,0.013707
-2.6069e+05,1.259e+05,-0.11921,0.001914
-2.9048e+05,1.3815e+05,-0.12134,-0.010118
-3.1907e+05,1.4973e+05,-0.12292,-0.022336
-3.4622e+05,1.6056e+05,-0.12392,-0.034683
-3.7169e+05,1.7057e+05,-0.1243,-0.0471
-3.9526e+05,1.7967e+05,-0.12401,-0.059522
-4.1669e+05,1.878e+05,-0.12301,-0.071879
-4.3576e+05,1.9489e+05,-0.12127,-0.0841
-4.5229e+05,2.0088e+05,-0.11875,-0.096109
-4.6609e+05,2.0572e+05,-0.11543,-0.10783
-4.7701e+05,2.0936e+05,-0.11128,-0.11917
-4.8492e+05,2.1178e+05,-0.10628,-0.13005
-4.897e+05,2.1293e+05,-0.10044,-0.1404
-4.9129e+05,2.128e+05,-0.093741,-0.15012
-4.8964e+05,2.1138e+05,-0.086207,-0.15912
-4.8472e+05,2.0867e+05,-0.077855,-0.16733
-4.7655e+05,2.0468e+05,-0.068717,-0.17467
-4.6517e+05,1.9943e+05,-0.058835,-0.18105
-4.5066e+05,1.9295e+05,-0.048264,-0.18642
-4.3311e+05,1.8527e+05,-0.037064,-0.19069
-4.1266e+05,1.7644e+05,-0.025312,-0.19381
-3.8946e+05,1.6652e+05,-0.013089,-0.19574
-3.6369e+05,1.5557e+05,-0.00048614,-0.19642
-3.3556e+05,1.4366e+05,0.012396,-0.19583
-3.0528e+05,1.3088e+05,0.025454,-0.19394
-2.7311e+05,1.1731e+05,0.038574,-0.19074
